Date,log_returns,State,SPX
1940-12-19,-0.5745477709441336,0,10.4
1940-12-20,0.14469891400064092,0,10.41
1940-12-21,0.29451260043751526,0,10.43
1940-12-23,-0.753562916372779,0,10.38
1940-12-24,0.2998622930087546,0,10.4
1940-12-26,-0.15032799821196885,0,10.39
1940-12-27,0.9543268185143421,0,10.44
1940-12-28,1.1062457176608873,0,10.5
1940-12-30,1.239504440439043,0,10.57
1940-12-31,0.17639544688810563,0,10.58
1941-01-02,-1.6994802888437468,1,10.48
1941-01-03,3.7071418811507693,1,10.72
1941-01-04,0.0,0,10.72
1941-01-06,0.30494297978911217,0,10.74
1941-01-07,0.15301198130632052,0,10.75
1941-01-08,0.3053501374180037,0,10.77
1941-01-09,0.9105437085969436,0,10.83
1941-01-10,0.4527344096001744,0,10.86
1941-01-11,-0.1546988972210661,0,10.85
1941-01-13,-0.46198987674249875,0,10.82
1941-01-14,-0.9259950354110716,1,10.76
1941-01-15,-1.3504570788806265,1,10.67
1941-01-16,-1.8511344432241248,1,10.54
1941-01-17,-0.2870502618520046,1,10.52
1941-01-18,-0.2893655817554294,1,10.5
1941-01-20,-0.4352806200312205,1,10.47
1941-01-21,-1.4172544741316626,1,10.37
1941-01-22,0.8627863178518302,1,10.43
1941-01-23,-0.1440649735436157,1,10.42
1941-01-24,0.4455568238109525,1,10.45
1941-01-25,0.5927249267523241,1,10.49
1941-01-27,0.0,1,10.49
1941-01-28,-0.8787874752885176,1,10.43
1941-01-29,-2.722913497745516,1,10.22
1941-01-30,-2.197122569190118,1,10.04
1941-01-31,0.36729345386071766,1,10.07
1941-02-01,-0.8595313726850724,1,10.0
1941-02-03,-0.5001770368315144,1,9.96
1941-02-04,0.1274436100939498,1,9.97
1941-02-05,2.066692146711438,1,10.15
1941-02-06,0.4589095114244246,1,10.19
1941-02-07,-0.40244714049733976,1,10.16
1941-02-08,0.5314089079539852,1,10.2
1941-02-10,-0.6652862607955917,1,10.15
1941-02-11,-2.150568919828593,1,9.98
1941-02-13,-1.7466035585728086,1,9.84
1941-02-14,-3.3691535540078834,1,9.53
1941-02-15,0.7581877114245698,0,9.6
1941-02-17,0.5308513931283814,0,9.65
